"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000054818","ENSGALG00000054818",2,3,2,4,15,0,2,6
"ENSGALG00000053455","ENSGALG00000053455",1,3,5,0,14,6,4,8
"ENSGALG00000045540","ENSGALG00000045540",257,209,776,453,1167,576,282,305
"ENSGALG00000051297","ENSGALG00000051297",432,339,1213,813,1802,860,550,481
"ENSGALG00000042023","ENSGALG00000042023",473,373,1558,1216,2286,1114,574,583
"ENSGALG00000047594","RF00004",0,0,2,1,1,0,0,0
"ENSGALG00000049206","RF00004_1",0,0,0,1,1,0,0,1
"ENSGALG00000029624","DHRS4",364,302,963,892,2212,945,451,480
"ENSGALG00000038527","CARMIL3",24,16,105,108,312,97,39,23
"ENSGALG00000052679","ENSGALG00000052679",8,7,41,23,109,50,14,35
"ENSGALG00000046962","ENSGALG00000046962",1,4,4,4,49,16,8,20
"ENSGALG00000042611","ENSGALG00000042611",343,266,1050,923,2039,953,415,455
"ENSGALG00000048560","ENSGALG00000048560",5,6,7,11,17,7,1,9
"ENSGALG00000050315","CLC2DL3",771,667,2794,1708,3492,1665,856,922
"ENSGALG00000048857","ENSGALG00000048857",15,8,35,22,33,9,9,5
"ENSGALG00000049873","ENSGALG00000049873",54,37,175,137,393,155,73,73
"ENSGALG00000053510","ENSGALG00000053510",107,101,397,280,652,336,123,172
"ENSGALG00000050833","ENSGALG00000050833",1,0,4,1,6,0,0,5
"ENSGALG00000051677","ENSGALG00000051677",28,30,73,92,146,64,40,46
"ENSGALG00000031626","ENSGALG00000031626",8,5,26,12,39,15,12,5
"ENSGALG00000041494","GOLGB1",647,497,1954,1547,3909,2031,856,1300
"ENSGALG00000039682","HCLS1",16,11,55,40,100,32,27,18
"ENSGALG00000038044","NME6",127,106,362,392,1053,310,172,145
"ENSGALG00000032458","RABL2B",231,207,668,694,1207,528,219,200
"ENSGALG00000047768","ACR",3,7,16,3,66,8,0,7
"ENSGALG00000035824","ARSA",331,283,981,1144,2564,1110,607,569
"ENSGALG00000034366","ACR_1",2,4,3,6,24,1,7,9
"ENSGALG00000050523","gga-mir-12207",0,0,5,3,0,0,0,0
"ENSGALG00000033919","ENSGALG00000033919",47,46,128,81,135,65,50,38
"ENSGALG00000034440","gga-mir-6708",0,2,2,0,5,2,0,0
"ENSGALG00000038707","gga-mir-1604",0,0,5,2,1,3,3,0
"ENSGALG00000051055","MAPK8IP2",4,3,20,20,39,13,8,23
"ENSGALG00000052929","ENSGALG00000052929",0,2,3,0,7,0,3,1
"ENSGALG00000054904","ENSGALG00000054904",6,1,0,7,1,4,1,1
"ENSGALG00000053146","ENSGALG00000053146",1,2,0,2,0,0,0,0
"ENSGALG00000051631","ENSGALG00000051631",0,0,1,0,0,5,3,4
"ENSGALG00000047599","ENSGALG00000047599",1,0,0,0,1,0,0,0
"ENSGALG00000054762","ENSGALG00000054762",0,0,0,0,0,0,0,0
"ENSGALG00000053751","ENSGALG00000053751",2,0,5,3,26,7,8,3
"ENSGALG00000046797","ENSGALG00000046797",22,30,75,67,178,40,44,54
"ENSGALG00000050267","CALU",16,15,45,30,78,54,24,30
"ENSGALG00000047194","ENSGALG00000047194",4,3,14,8,22,5,15,9
"ENSGALG00000048328","ENSGALG00000048328",13,5,22,23,32,17,2,4
"ENSGALG00000031473","ENSGALG00000031473",23,28,34,30,142,30,9,39
"ENSGALG00000054662","ENSGALG00000054662",26,8,25,52,88,34,35,26
"ENSGALG00000048059","ENSGALG00000048059",4,6,27,30,41,14,10,1
"ENSGALG00000053846","ENSGALG00000053846",88,81,345,336,387,159,81,47
"ENSGALG00000048724","ENSGALG00000048724",0,0,0,0,0,1,0,0
"ENSGALG00000054163","ENSGALG00000054163",40,12,50,31,27,24,26,31
"ENSGALG00000051962","ENSGALG00000051962",41,14,101,29,42,15,11,26
"ENSGALG00000047166","ENSGALG00000047166",0,5,12,16,24,9,3,11
"ENSGALG00000048258","ENSGALG00000048258",11,13,29,34,64,42,13,28
"ENSGALG00000054512","ENSGALG00000054512",1,0,2,4,13,10,2,1
"ENSGALG00000050846","ENSGALG00000050846",0,0,4,1,13,5,6,2
"ENSGALG00000053334","ENSGALG00000053334",3,1,14,16,18,6,3,0
"ENSGALG00000034086","ENSGALG00000034086",1,1,10,11,9,3,7,2
"ENSGALG00000051114","ENSGALG00000051114",0,0,0,2,1,1,3,0
"ENSGALG00000054903","ENSGALG00000054903",16,1,16,9,29,13,14,15
"ENSGALG00000050519","ENSGALG00000050519",4,4,17,1,15,0,0,3
"ENSGALG00000049223","ENSGALG00000049223",3,4,5,3,9,4,0,9
"ENSGALG00000048878","ENSGALG00000048878",6,1,8,1,3,6,0,1
"ENSGALG00000049687","ENSGALG00000049687",0,1,2,0,2,0,0,0
"ENSGALG00000053590","ENSGALG00000053590",6,1,3,1,18,1,1,1
"ENSGALG00000054297","ENSGALG00000054297",9,18,74,55,157,53,20,44
"ENSGALG00000049264","ENSGALG00000049264",55,47,172,139,176,88,37,29
"ENSGALG00000043476","ARF5",105,99,414,322,491,244,127,37
"ENSGALG00000033149","GCC1",226,155,634,801,1357,673,288,315
"ENSGALG00000043771","DENND6B",161,131,414,560,1033,523,179,269
"ENSGALG00000029341","PPP6R2",168,153,698,542,1088,416,214,134
"ENSGALG00000035085","gga-mir-1651",0,1,0,1,0,0,2,0
"ENSGALG00000043178","SBF1",105,74,257,167,357,158,72,72
"ENSGALG00000041965","MIOX",2,1,0,5,7,2,4,13
"ENSGALG00000041528","LMF2",42,39,165,153,254,140,50,18
"ENSGALG00000054793","NCAPH2",241,208,738,690,1085,456,218,166
"ENSGALG00000046885","SCO2",70,50,138,121,333,118,68,81
"ENSGALG00000039982","IRF5",28,12,30,48,103,31,24,57
"ENSGALG00000039420","TNPO3",29,22,120,113,123,77,16,47
"ENSGALG00000051854","ENSGALG00000051854",295,222,891,948,1257,327,324,257
"ENSGALG00000036114","SMO",136,168,409,283,478,113,85,88
"ENSGALG00000032868","AHCYL2",188,167,632,572,1024,504,212,257
"ENSGALG00000038520","STRIP2",100,87,340,334,499,204,103,50
"ENSGALG00000047596","SMKR1",10,29,84,52,110,45,23,36
"ENSGALG00000040060","NRF1",333,304,1130,1068,2048,726,295,250
"ENSGALG00000054860","gga-mir-182",0,0,1,0,2,3,2,0
"ENSGALG00000048065","gga-mir-96",0,0,0,0,0,0,1,0
"ENSGALG00000024492","gga-mir-183",0,0,0,1,7,0,0,0
"ENSGALG00000031975","UBE2H",1137,976,3029,2708,6937,3150,1537,928
"ENSGALG00000008003","ZC3HC1",471,431,1477,1548,2834,1245,499,520
"ENSGALG00000027129","gga-mir-6676",0,0,3,4,6,0,0,1
"ENSGALG00000008013","KLHDC10",202,180,718,870,1555,720,247,265
"ENSGALG00000028816","gga-mir-6629",2,0,10,7,12,4,2,1
"ENSGALG00000036140","ENSGALG00000036140",11,5,29,31,135,30,11,14
"ENSGALG00000008036","TMEM209",886,810,2760,3185,5683,2902,1270,1252
"ENSGALG00000008048","CPA2",5,2,26,17,15,11,12,6
"ENSGALG00000027296","CPA5",6,6,14,22,26,13,12,29
"ENSGALG00000008087","CPA1",9,2,31,7,62,17,16,1
"ENSGALG00000008103","CEP41",251,187,930,896,1549,587,270,315
"ENSGALG00000008111","MEST",133,115,371,359,1059,284,176,266
"ENSGALG00000008144","COPG2",1028,902,3742,4442,9748,3797,1502,2086
"ENSGALG00000008153","ENSGALG00000008153",15,13,50,25,125,49,43,11
"ENSGALG00000008162","FBH1",131,92,377,360,970,449,218,246
"ENSGALG00000008168","ANKRD16",58,44,191,188,574,213,86,141
"ENSGALG00000008169","GDI2",4090,3447,13241,13519,24048,10056,4774,4878
"ENSGALG00000055101","TASOR2",157,121,602,347,678,195,145,171
"ENSGALG00000053060","ENSGALG00000053060",2,2,8,7,10,4,5,6
"ENSGALG00000008401","ASB13",58,57,259,178,362,164,82,110
"ENSGALG00000008424","CALML3",1,6,29,8,19,11,8,11
"ENSGALG00000008437","NET1",1226,1081,3842,4094,9026,3331,1459,1992
"ENSGALG00000050230","ENSGALG00000050230",89,91,259,197,456,170,90,96
"ENSGALG00000047026","ENSGALG00000047026",13,9,39,65,167,63,25,26
"ENSGALG00000008444","TUBAL3",105,90,429,507,1466,707,276,279
"ENSGALG00000032978","UCN3",3,2,26,5,20,7,11,3
"ENSGALG00000018270","gga-mir-205b",0,1,8,1,9,1,2,1
"ENSGALG00000047442","ENSGALG00000047442",8,5,25,21,211,103,46,28
"ENSGALG00000038187","SLC35B4",165,110,564,512,1081,471,174,166
"ENSGALG00000037842","LRGUK",39,35,88,118,288,128,60,76
"ENSGALG00000008477","EXOC4",730,602,2419,2195,4906,2257,940,1194
"ENSGALG00000028216","gga-mir-6659",0,0,10,3,9,4,4,5
"ENSGALG00000006489","CHCHD3",2334,2020,7597,8386,13660,5335,2864,2866
"ENSGALG00000048978","ENSGALG00000048978",1,0,11,2,30,7,5,8
"ENSGALG00000006473","PLXNA4",841,774,2722,3035,1578,781,408,381
"ENSGALG00000047970","ENSGALG00000047970",1,2,0,1,0,1,4,0
"ENSGALG00000027460","gga-mir-6621",0,1,3,1,2,0,0,0
"ENSGALG00000052521","ENSGALG00000052521",2,1,3,0,8,1,1,7
"ENSGALG00000047975","ENSGALG00000047975",0,5,49,5,28,19,5,10
"ENSGALG00000006409","PODXL",1236,1071,3705,3468,13876,7222,2710,4331
"ENSGALG00000006356","MKLN1",789,596,2379,2485,5576,2333,910,1064
"ENSGALG00000051559","ENSGALG00000051559",10,13,79,59,255,72,54,43
"ENSGALG00000048728","ENSGALG00000048728",11,9,51,12,52,21,10,15
"ENSGALG00000047050","ENSGALG00000047050",2,7,7,1,14,12,4,19
"ENSGALG00000048519","ENSGALG00000048519",2,5,13,1,2,2,0,4
"ENSGALG00000050475","ENSGALG00000050475",2,2,8,13,21,4,10,9
"ENSGALG00000052368","ENSGALG00000052368",4,1,4,1,27,10,0,7
"ENSGALG00000018236","gga-mir-29b-1",0,0,0,0,0,0,0,0
"ENSGALG00000018235","gga-mir-29a",0,0,1,0,3,0,1,0
"ENSGALG00000041978","K123",3,5,18,12,25,21,12,2
"ENSGALG00000042471","IL2RA",1,2,5,5,19,4,1,3
"ENSGALG00000006332","RBM17",1340,1072,3539,3714,6002,2241,1227,1489
"ENSGALG00000040369","PFKFB3",166,140,730,617,972,350,199,190
"ENSGALG00000034970","ENSGALG00000034970",47,33,96,137,412,180,72,81
"ENSGALG00000048616","ENSGALG00000048616",8,3,6,4,25,12,13,0
"ENSGALG00000009279","SFMBT2",37,31,184,105,180,93,60,40
"ENSGALG00000053050","ENSGALG00000053050",6,5,10,2,47,7,5,3
"ENSGALG00000029446","ENSGALG00000029446",77,83,345,358,246,163,69,71
"ENSGALG00000006891","ITIH5",12,6,37,47,39,46,9,11
"ENSGALG00000006833","ITIH2",19,11,60,33,158,61,35,46
"ENSGALG00000030702","KIN",131,116,438,471,721,367,205,195
"ENSGALG00000006753","ATP5F1C",4434,3696,12989,13584,26531,10079,5505,5007
"ENSGALG00000006731","TAF3",612,465,1522,1335,2187,987,485,418
"ENSGALG00000029270","GATA3",257,213,722,910,6972,3131,1523,2012
"ENSGALG00000048044","ENSGALG00000048044",1,5,20,9,19,8,10,11
"ENSGALG00000050432","ENSGALG00000050432",7,4,19,4,29,12,11,7
"ENSGALG00000050900","ENSGALG00000050900",0,1,0,0,1,2,1,0
"ENSGALG00000047165","ENSGALG00000047165",14,27,33,15,152,5,8,7
"ENSGALG00000049441","ENSGALG00000049441",1,1,3,1,3,0,4,10
"ENSGALG00000034590","CELF2",336,283,777,1251,1762,764,355,492
"ENSGALG00000025441","gga-mir-1626",1,1,0,0,0,1,0,0
"ENSGALG00000025473","gga-mir-1596",1,0,0,0,2,0,0,0
"ENSGALG00000049014","ENSGALG00000049014",1,0,0,0,0,0,0,1
"ENSGALG00000046927","ENSGALG00000046927",37,39,104,158,261,71,41,81
"ENSGALG00000035563","USP6NL",408,321,1135,1187,2782,1179,504,837
"ENSGALG00000048819","ENSGALG00000048819",0,0,3,0,4,1,5,1
"ENSGALG00000006690","ECHDC3",206,175,845,691,1011,289,188,99
"ENSGALG00000055058","ENSGALG00000055058",131,152,441,471,1747,586,309,256
"ENSGALG00000033772","UPF2",451,362,1196,723,1302,556,340,388
"ENSGALG00000003674","DHTKD1",414,366,1568,1484,3184,1366,531,654
"ENSGALG00000036300","SEC61A2",501,389,1387,1248,3776,1555,762,1086
"ENSGALG00000013967","NUDT5",122,117,371,382,828,385,204,162
"ENSGALG00000014038","CDC123",285,263,917,923,2058,806,331,370
"ENSGALG00000033051","CAMK1D",8,25,47,41,121,53,42,36
"ENSGALG00000030140","CCDC3",31,11,56,45,49,27,19,12
"ENSGALG00000013738","OPTN",341,354,1187,1273,2885,1166,619,759
"ENSGALG00000034198","MCM10",415,428,1819,1883,2722,1062,540,520
"ENSGALG00000051529","ENSGALG00000051529",35,34,106,74,131,49,29,22
"ENSGALG00000035636","PHYH",84,67,184,194,491,225,123,138
"ENSGALG00000051968","ENSGALG00000051968",8,0,11,6,31,8,0,7
"ENSGALG00000014575","SEPHS2L",1282,1090,3679,3476,6755,2967,1722,1639
"ENSGALG00000006682","BEND7",117,63,239,180,467,158,114,94
"ENSGALG00000043593","ENSGALG00000043593",551,448,1477,1678,3697,1508,832,833
"ENSGALG00000034992","FRMD4A",250,196,742,640,1877,798,325,392
"ENSGALG00000050213","ENSGALG00000050213",29,49,124,120,184,91,30,40
"ENSGALG00000025161","gga-mir-1460",1,2,2,10,8,4,3,1
"ENSGALG00000054941","ENSGALG00000054941",72,72,173,146,185,111,41,63
"ENSGALG00000054570","ENSGALG00000054570",26,36,115,46,140,36,33,20
"ENSGALG00000033226","FAM107B",513,346,1598,1834,3389,1709,668,692
"ENSGALG00000049029","ENSGALG00000049029",2,1,5,0,25,3,5,0
"ENSGALG00000054077","ENSGALG00000054077",1,0,2,5,6,4,8,0
"ENSGALG00000035201","HSPA14",1066,1018,3383,3755,6854,2735,1242,1473
"ENSGALG00000013920","SUV39H2",799,726,2496,3117,5422,2331,1146,1128
"ENSGALG00000013926","DCLRE1C",99,72,288,166,579,240,104,105
"ENSGALG00000000451","MEIG1",3,10,42,29,53,17,16,6
"ENSGALG00000006633","TMEM243",54,51,210,141,114,56,44,18
"ENSGALG00000030844","DMTF1",186,184,593,422,1158,652,191,220
"ENSGALG00000033788","RF02271",0,0,3,3,5,2,1,1
"ENSGALG00000030324","KIAA1324L",72,40,267,297,332,69,42,51
"ENSGALG00000006576","GRM3",35,21,54,123,73,118,29,18
"ENSGALG00000047509","ENSGALG00000047509",5,0,15,4,11,0,0,6
"ENSGALG00000047727","ENSGALG00000047727",14,14,17,20,43,14,26,21
"ENSGALG00000006563","SEMA3D",629,530,1906,2737,7557,3382,1682,1691
"ENSGALG00000006560","SEMA3A",94,92,266,222,955,349,165,177
"ENSGALG00000038225","SEMA3E",25,18,128,71,224,63,49,51
"ENSGALG00000049217","ENSGALG00000049217",10,0,28,10,14,4,8,1
"ENSGALG00000037435","ENSGALG00000037435",5,4,17,5,34,19,4,4
"ENSGALG00000039659","ENSGALG00000039659",54,53,150,81,179,93,77,129
"ENSGALG00000039355","ENSGALG00000039355",26,17,64,42,61,21,29,18
"ENSGALG00000008486","CACNA2D1",438,409,1046,866,1411,515,322,408
"ENSGALG00000048859","ENSGALG00000048859",12,16,28,51,53,11,5,1
"ENSGALG00000033974","HGF",18,43,89,53,222,74,50,62
"ENSGALG00000050082","ENSGALG00000050082",1,3,0,9,24,7,3,7
"ENSGALG00000055032","ENSGALG00000055032",5,14,71,13,168,17,15,25
"ENSGALG00000052917","ENSGALG00000052917",1,0,3,1,7,5,5,2
"ENSGALG00000042096","ENSGALG00000042096",0,2,3,0,4,3,0,2
"ENSGALG00000052297","ENSGALG00000052297",3,20,55,17,54,22,32,25
"ENSGALG00000053789","ENSGALG00000053789",0,1,5,0,4,2,0,0
"ENSGALG00000040444","SEMA3C",123,96,253,426,1533,670,273,255
"ENSGALG00000008439","CD36",7,12,21,29,65,12,14,15
"ENSGALG00000008427","GNAT3",2,8,24,10,44,12,8,11
"ENSGALG00000052110","ENSGALG00000052110",3,7,3,10,39,15,6,9
"ENSGALG00000008382","GNAI1",2017,1620,5341,5872,10061,4765,2501,2656
"ENSGALG00000038834","MAGI2",39,33,81,105,255,142,36,68
"ENSGALG00000041737","ENSGALG00000041737",1,0,11,4,15,0,3,1
"ENSGALG00000008335","PHTF2",175,202,535,399,631,342,166,147
"ENSGALG00000008330","TMEM60",191,153,601,481,797,247,154,72
"ENSGALG00000008328","RSBN1L",112,110,356,287,413,166,121,89
"ENSGALG00000038546","ENSGALG00000038546",4,9,10,8,23,13,5,9
"ENSGALG00000051957","PTPN12",215,165,592,399,575,283,142,97
"ENSGALG00000055027","ENSGALG00000055027",5,5,41,13,43,4,4,9
"ENSGALG00000008312","GSAP",150,102,480,503,1175,557,208,181
"ENSGALG00000046379","ENSGALG00000046379",9,5,25,19,14,9,4,15
"ENSGALG00000050444","ENSGALG00000050444",0,3,4,2,7,6,2,2
"ENSGALG00000008309","ENSGALG00000008309",11,10,31,40,37,25,14,10
"ENSGALG00000008306","FGL2",24,8,17,12,61,30,12,31
"ENSGALG00000008301","FAM185A",55,55,321,413,586,224,73,23
"ENSGALG00000045817","ENSGALG00000045817",63,71,291,497,57,28,17,12
"ENSGALG00000008298","LRRC17",57,20,96,118,116,49,9,9
"ENSGALG00000053565","ENSGALG00000053565",17,27,63,22,64,22,21,18
"ENSGALG00000008288","ARMC10",35,27,75,101,203,97,30,67
"ENSGALG00000008285","NAPEPLD",99,87,362,409,1111,466,264,332
"ENSGALG00000008280","PMPCB",1182,861,3654,3447,5829,2426,1286,1265
"ENSGALG00000008249","DNAJC2",950,763,3288,2700,3916,1336,593,564
"ENSGALG00000008236","PSMC2",2649,2219,8427,8649,15224,6400,3402,3336
"ENSGALG00000008222","SLC26A5",114,83,390,463,589,228,188,135
"ENSGALG00000008193","RELN",195,110,469,229,731,142,142,125
"ENSGALG00000047635","ENSGALG00000047635",0,0,1,0,0,2,0,0
"ENSGALG00000049743","ENSGALG00000049743",7,2,18,6,18,1,4,7
"ENSGALG00000008175","ORC5",493,426,1527,1464,2723,1281,697,742
"ENSGALG00000051514","ENSGALG00000051514",1,2,12,0,10,2,1,5
"ENSGALG00000043367","LHFPL3",4,8,17,16,103,23,19,7
"ENSGALG00000047191","ENSGALG00000047191",0,0,0,3,0,0,0,3
"ENSGALG00000034533","ENSGALG00000034533",54,16,138,109,177,74,38,44
"ENSGALG00000054277","ENSGALG00000054277",29,17,53,66,130,26,42,29
"ENSGALG00000008167","KMT2E",982,994,3434,2726,5929,2813,1309,1680
"ENSGALG00000008154","SRPK2",248,178,662,457,915,417,233,230
"ENSGALG00000047845","ENSGALG00000047845",13,10,48,20,73,44,15,34
"ENSGALG00000008132","PUS7",436,393,1448,1374,3063,1223,626,559
"ENSGALG00000008123","RINT1",208,207,678,772,1712,791,268,370
"ENSGALG00000045949","EFCAB10",44,48,141,124,260,82,15,19
"ENSGALG00000008115","ATXN7L1",76,58,255,153,229,134,66,57
"ENSGALG00000054032","ENSGALG00000054032",6,7,20,25,20,11,7,19
"ENSGALG00000052028","ENSGALG00000052028",5,2,6,7,41,6,3,4
"ENSGALG00000029006","SYPL1",21,10,44,77,70,29,16,27
"ENSGALG00000008098","NAMPT",441,350,1469,1727,2921,1399,552,519
"ENSGALG00000031636","ENSGALG00000031636",0,1,2,3,1,4,4,7
"ENSGALG00000048516","ENSGALG00000048516",0,1,0,2,2,0,0,0
"ENSGALG00000008081","PIK3CG",67,45,177,119,300,128,41,41
"ENSGALG00000008060","PRKAR2B",11,7,17,18,57,21,15,30
"ENSGALG00000008050","HBP1",314,251,1208,905,3104,1462,457,877
"ENSGALG00000042764","COG5",335,314,1236,1394,3026,1440,563,846
"ENSGALG00000008032","ENSGALG00000008032",20,22,83,38,66,33,19,23
"ENSGALG00000023661","DUS4L",181,172,526,518,981,455,307,261
"ENSGALG00000008009","BCAP29",879,804,2498,2373,5260,2465,1236,1563
"ENSGALG00000007998","SLC26A4",10,16,60,48,97,19,19,50
"ENSGALG00000038981","CBLL1",765,738,2462,3187,5367,2518,1089,1188
"ENSGALG00000007959","SLC26A3",5,22,54,22,98,37,24,48
"ENSGALG00000007931","DLD",1472,1191,4415,4851,8959,4199,2083,2262
"ENSGALG00000007905","LAMB1",5584,4834,19040,21053,38917,17288,7548,9020
"ENSGALG00000007917","LAMB4",54,87,206,159,348,111,93,49
"ENSGALG00000007183","ERGIC2",1261,1117,3951,4216,7782,3373,1490,1636
"ENSGALG00000007161","LRRK2",127,115,329,172,469,157,130,164
"ENSGALG00000035940","SLC2A13",37,33,93,70,194,53,39,44
"ENSGALG00000049464","ENSGALG00000049464",18,7,26,15,88,32,27,10
"ENSGALG00000038806","ENSGALG00000038806",6,11,32,23,58,26,15,7
"ENSGALG00000042554","ABCD2",49,57,181,147,257,95,56,45
"ENSGALG00000042244","ENSGALG00000042244",0,0,7,4,24,3,10,14
"ENSGALG00000007098","KIF21A",532,362,1566,1214,2285,1147,458,664
"ENSGALG00000043872","ENSGALG00000043872",5,3,10,14,35,5,10,2
"ENSGALG00000054983","ENSGALG00000054983",4,4,12,9,31,6,7,1
"ENSGALG00000007025","CPNE8",73,67,193,215,393,110,102,136
"ENSGALG00000040272","ALG10",297,268,888,788,1927,742,392,375
"ENSGALG00000013018","TPRKB",634,570,1986,2180,2999,1081,605,595
"ENSGALG00000004897","GTSE1",709,571,2240,2680,4522,2099,845,1107
"ENSGALG00000031922","TRMU",68,54,282,243,394,141,92,120
"ENSGALG00000043355","ENSGALG00000043355",160,93,407,338,689,381,144,124
"ENSGALG00000054287","ENSGALG00000054287",62,45,257,359,432,219,83,82
"ENSGALG00000034274","GRAMD4",77,61,193,160,236,150,68,98
"ENSGALG00000048109","ENSGALG00000048109",3,3,11,26,88,44,27,39
"ENSGALG00000046989","ENSGALG00000046989",3,4,1,3,4,9,4,1
"ENSGALG00000019397","CERK",171,148,394,436,550,279,140,91
"ENSGALG00000052352","ENSGALG00000052352",3,5,21,8,20,15,12,20
"ENSGALG00000043058","TBC1D22A",433,303,997,938,2561,1081,376,571
"ENSGALG00000048010","ENSGALG00000048010",5,12,17,6,38,6,16,7
"ENSGALG00000051900","ENSGALG00000051900",12,3,15,3,44,15,8,4
"ENSGALG00000047843","ENSGALG00000047843",5,4,23,3,30,1,4,20
"ENSGALG00000048481","ENSGALG00000048481",5,7,19,9,54,7,21,4
"ENSGALG00000050263","ENSGALG00000050263",0,0,0,0,6,1,1,0
"ENSGALG00000052402","ENSGALG00000052402",0,0,9,8,10,3,2,1
"ENSGALG00000023584","TAFA5",11,25,75,33,86,26,22,23
"ENSGALG00000048222","ENSGALG00000048222",4,1,6,11,73,32,24,16
"ENSGALG00000048715","ENSGALG00000048715",2,5,12,4,19,3,3,5
"ENSGALG00000051371","ENSGALG00000051371",7,12,16,2,51,11,23,40
"ENSGALG00000054009","ENSGALG00000054009",7,2,7,2,18,0,10,4
"ENSGALG00000029379","BRD1",680,545,1344,1141,1828,879,464,373
"ENSGALG00000032659","ZBED4",767,561,2118,2638,5543,2462,1056,1279
"ENSGALG00000052308","ENSGALG00000052308",1,2,3,1,5,3,0,3
"ENSGALG00000008539","ALG12",1503,1246,4655,4657,10414,4702,2646,3261
"ENSGALG00000008551","CRELD2",697,559,1873,1647,5935,2903,1432,2520
"ENSGALG00000054568","ENSGALG00000054568",6,7,20,7,37,9,9,8
"ENSGALG00000051204","ENSGALG00000051204",0,0,0,0,1,0,0,0
"ENSGALG00000050602","ENSGALG00000050602",2,0,3,3,18,3,11,5
"ENSGALG00000023576","PIM3",84,86,386,439,800,241,74,75
"ENSGALG00000049901","ENSGALG00000049901",10,16,35,18,76,25,33,29
"ENSGALG00000008554","IL17REL",132,98,295,452,249,39,51,39
"ENSGALG00000040038","MLC1",10,20,60,74,127,37,38,31
"ENSGALG00000033664","MOV10L1",10,15,61,40,165,41,28,43
"ENSGALG00000000003","PANX2",56,32,132,119,228,80,29,30
"ENSGALG00000030705","TRABD",1471,1211,3839,4551,10437,4454,2299,2531
"ENSGALG00000038467","SELENOO",81,83,339,268,426,106,85,74
"ENSGALG00000032156","TUBGCP6",140,99,444,308,663,280,99,94
"ENSGALG00000051829","ENSGALG00000051829",21,23,122,112,232,94,63,48
"ENSGALG00000051043","ENSGALG00000051043",105,111,403,453,977,418,201,218
"ENSGALG00000041251","HDAC10",136,141,563,636,1440,676,276,365
"ENSGALG00000008635","ENSGALG00000008635",2,6,14,47,181,72,38,33
"ENSGALG00000019384","MAPK12",92,70,268,282,1085,404,175,180
"ENSGALG00000040023","MAPK11",194,138,525,692,2128,877,394,387
"ENSGALG00000048447","ENSGALG00000048447",2,3,10,9,24,8,6,9
"ENSGALG00000047054","ENSGALG00000047054",4,5,26,12,21,12,26,7
"ENSGALG00000039861","PLXNB2",393,326,1294,1195,3189,1249,574,703
"ENSGALG00000049506","ENSGALG00000049506",5,2,28,8,30,9,12,7
"ENSGALG00000052942","ENSGALG00000052942",14,12,40,7,101,9,19,12
"ENSGALG00000033997","ZNF800",105,76,309,188,702,251,135,162
"ENSGALG00000039403","GRM8",7,3,51,53,48,42,11,17
"ENSGALG00000025697","RF00003",0,0,1,0,0,1,0,0
"ENSGALG00000049783","ENSGALG00000049783",1,1,3,2,4,7,4,1
"ENSGALG00000008740","POT1",219,208,591,502,1400,579,197,226
"ENSGALG00000050462","ENSGALG00000050462",3,1,13,1,31,5,4,1
"ENSGALG00000040954","GPR37",73,72,164,135,315,152,101,86
"ENSGALG00000031527","ARL8BL",98,46,267,176,556,183,120,62
"ENSGALG00000008761","SPAM1",2,4,8,5,38,4,2,8
"ENSGALG00000008776","HYAL6",7,12,9,16,26,13,7,6
"ENSGALG00000054326","ENSGALG00000054326",27,8,52,13,109,21,26,31
"ENSGALG00000008797","WASL",440,341,1088,769,1000,353,385,240
"ENSGALG00000008805","LMOD2",0,2,3,3,13,2,0,1
"ENSGALG00000008814","ASB15",9,9,7,4,29,9,20,13
"ENSGALG00000008821","NDUFA5",1555,1282,4363,3933,7362,2586,1890,1800
"ENSGALG00000008823","IQUB",49,43,101,131,260,91,64,52
"ENSGALG00000008836","ATP6AP1",850,660,2126,2744,3567,1542,776,650
"ENSGALG00000008874","SLC13A1",8,14,34,11,69,7,23,8
"ENSGALG00000008926","CADPS2",88,79,138,187,977,321,146,188
"ENSGALG00000054487","ENSGALG00000054487",0,0,1,1,6,3,3,0
"ENSGALG00000008941","FEZF1",1,0,6,5,16,5,5,1
"ENSGALG00000008953","AASS",30,39,97,92,436,157,61,123
"ENSGALG00000040114","PTPRZ1",245,211,547,663,1030,483,298,366
"ENSGALG00000052468","ENSGALG00000052468",2,2,5,2,22,3,0,1
"ENSGALG00000025193","RF00100",1,0,4,1,5,1,0,0
"ENSGALG00000008975","FAM3C",459,421,1431,1293,2994,1569,619,799
"ENSGALG00000028069","WNT16",6,2,19,30,58,25,10,8
"ENSGALG00000009002","CPED1",96,98,383,388,670,335,116,121
"ENSGALG00000025216","gga-mir-1645",1,0,1,0,2,2,0,0
"ENSGALG00000009023","ING3",382,292,1297,1122,2682,1210,462,691
"ENSGALG00000009029","TSPAN12",183,193,566,641,1347,533,467,434
"ENSGALG00000009066","KCND2",0,8,61,25,75,18,17,13
"ENSGALG00000036488","ENSGALG00000036488",4,3,2,1,9,1,1,7
"ENSGALG00000050581","ENSGALG00000050581",0,1,0,0,0,0,0,0
