"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000012394","ENSGALG00000012394",2769,2625,12538,15561,14565,6883,2381,1142
"ENSGALG00000029768","PTGDR",93,77,391,402,598,242,138,132
"ENSGALG00000012396","PTGER2",4,6,24,23,53,23,11,1
"ENSGALG00000047585","ENSGALG00000047585",7,10,45,4,76,43,11,1
"ENSGALG00000043613","TXNDC16",125,113,391,442,867,450,196,144
"ENSGALG00000012401","GPR137C",119,101,323,378,446,204,108,73
"ENSGALG00000012404","ERO1A",252,317,1171,1115,2207,1053,439,590
"ENSGALG00000012408","PSMC6",2224,1897,6619,7002,12840,5449,2740,2393
"ENSGALG00000052448","STYX",37,33,101,101,166,62,23,27
"ENSGALG00000012414","GNPNAT1",705,624,2384,2472,5638,2602,986,1308
"ENSGALG00000012425","FERMT2",1901,1607,5766,5021,8564,4285,1910,1844
"ENSGALG00000012426","DDHD1",10,21,56,25,42,35,9,11
"ENSGALG00000050457","ENSGALG00000050457",1,1,4,1,14,2,5,4
"ENSGALG00000050220","ENSGALG00000050220",3,2,18,11,29,11,10,7
"ENSGALG00000012429","BMP4",460,377,1437,1427,5222,2185,767,965
"ENSGALG00000054128","ENSGALG00000054128",19,12,40,46,112,46,12,16
"ENSGALG00000051700","ENSGALG00000051700",17,9,5,15,49,29,8,4
"ENSGALG00000012452","MIS18BP1",251,204,630,402,549,322,160,115
"ENSGALG00000031182","FANCM",203,133,622,396,712,367,122,137
"ENSGALG00000012464","SOUL",8,8,57,49,258,118,57,58
"ENSGALG00000012466","FKBP3",1799,1619,5700,5480,10640,3817,2109,1698
"ENSGALG00000012468","PRPF39",1182,1016,4318,4231,7775,3736,1687,1659
"ENSGALG00000025674","RF01186",10,13,41,32,81,31,20,18
"ENSGALG00000034773","TOGARAM1",177,112,384,210,559,270,113,79
"ENSGALG00000012489","KLHL28",152,123,661,668,1506,648,303,335
