sample_id,data1,strip1,strip2
ss8,/camp/home/thierya/working/raw_data/test/ss8_9,-1234.fastq.gz,
ss11,/camp/home/thierya/working/raw_data/test/ss11_123fq,_1.fastq.gz,_2.fastq.gz
ss15,/camp/home/thierya/working/raw_data/test/ss15_123fq,_1.fastq.gz,_2.fastq.gz
