sample_id,data1,strip1,strip2
ss8,/Users/alex/dev/repos/otic-reprogramming/testData/smartseq2/ss8_9,-1234.sub.fastq.gz,
ss11,/Users/alex/dev/repos/otic-reprogramming/testData/smartseq2/ss11_123fq,_1.sub.fastq.gz,_2.sub.fastq.gz
ss15,/Users/alex/dev/repos/otic-reprogramming/testData/smartseq2/ss15_123fq,_1.sub.fastq.gz,_2.sub.fastq.gz
