	timepoint	replicate_id	treatment
278164	ss11	1	sc
279176	ss11	1	sc
280188	ss11	1	sc
281105	ss11	1	sc
282117	ss11	1	sc
283129	ss11	1	sc
284141	ss11	1	sc
285153	ss11	1	sc
286165	ss11	1	sc
287177	ss11	1	sc
288189	ss11	1	sc
289106	ss11	1	sc
290118	ss11	1	sc
291130	ss11	1	sc
292142	ss11	1	sc
293154	ss11	1	sc
294166	ss11	1	sc
295178	ss11	1	sc
296190	ss11	1	sc
201108	ss15	1	sc
201189	ss15	1	sc
202120	ss15	1	sc
202177	ss15	1	sc
203132	ss15	1	sc
203165	ss15	1	sc
204144	ss15	1	sc
204153	ss15	1	sc
205141	ss15	1	sc
205156	ss15	1	sc
206129	ss15	1	sc
206168	ss15	1	sc
207117	ss15	1	sc
207180	ss15	1	sc
208105	ss15	1	sc
208192	ss15	1	sc
209109	ss15	1	sc
209188	ss15	1	sc
210121	ss15	1	sc
210176	ss15	1	sc
211133	ss15	1	sc
211164	ss15	1	sc
212145	ss15	1	sc
212152	ss15	1	sc
213140	ss15	1	sc
213157	ss15	1	sc
214128	ss15	1	sc
214169	ss15	1	sc
215116	ss15	1	sc
215181	ss15	1	sc
216104	ss15	1	sc
216193	ss15	1	sc
217110	ss15	1	sc
217187	ss15	1	sc
218122	ss15	1	sc
218175	ss15	1	sc
219134	ss15	1	sc
219163	ss15	1	sc
220146	ss15	1	sc
220151	ss15	1	sc
221139	ss15	1	sc
221158	ss15	1	sc
222127	ss15	1	sc
222170	ss15	1	sc
223115	ss15	1	sc
223182	ss15	1	sc
224103	ss15	1	sc
224194	ss15	1	sc
225111	ss15	1	sc
225186	ss15	1	sc
226123	ss15	1	sc
226174	ss15	1	sc
227135	ss15	1	sc
227162	ss15	1	sc
228147	ss15	1	sc
228150	ss15	1	sc
229138	ss15	1	sc
229159	ss15	1	sc
230126	ss15	1	sc
230171	ss15	1	sc
231114	ss15	1	sc
231183	ss15	1	sc
232102	ss15	1	sc
232195	ss15	1	sc
233112	ss15	1	sc
233185	ss15	1	sc
234124	ss15	1	sc
234173	ss15	1	sc
235136	ss15	1	sc
235161	ss15	1	sc
236148	ss15	1	sc
236149	ss15	1	sc
237137	ss15	1	sc
237160	ss15	1	sc
238125	ss15	1	sc
238172	ss15	1	sc
239113	ss15	1	sc
239184	ss15	1	sc
240101	ss15	1	sc
240196	ss15	1	sc
241101	ss15	1	sc
241196	ss15	1	sc
242113	ss15	1	sc
242184	ss15	1	sc
243125	ss15	1	sc
243172	ss15	1	sc
244137	ss15	1	sc
244160	ss15	1	sc
245148	ss15	1	sc
245149	ss15	1	sc
246136	ss15	1	sc
246161	ss15	1	sc
247124	ss15	1	sc
247173	ss15	1	sc
248112	ss15	1	sc
248185	ss15	1	sc
249102	ss15	1	sc
249195	ss15	1	sc
250114	ss15	1	sc
250183	ss15	1	sc
251126	ss15	1	sc
251171	ss15	1	sc
252138	ss15	1	sc
252159	ss15	1	sc
253147	ss15	1	sc
253150	ss15	1	sc
254135	ss15	1	sc
254162	ss15	1	sc
255123	ss15	1	sc
255174	ss15	1	sc
256111	ss15	1	sc
256186	ss15	1	sc
257103	ss15	1	sc
257194	ss15	1	sc
258115	ss15	1	sc
258182	ss15	1	sc
259127	ss15	1	sc
259170	ss15	1	sc
260139	ss15	1	sc
260158	ss15	1	sc
261146	ss15	1	sc
261151	ss15	1	sc
262134	ss15	1	sc
262163	ss15	1	sc
263122	ss15	1	sc
263175	ss15	1	sc
264110	ss15	1	sc
264187	ss15	1	sc
265104	ss15	1	sc
265193	ss15	1	sc
266116	ss15	1	sc
266181	ss15	1	sc
267128	ss15	1	sc
267169	ss15	1	sc
268140	ss15	1	sc
268157	ss15	1	sc
269145	ss15	1	sc
269152	ss15	1	sc
270133	ss15	1	sc
270164	ss15	1	sc
271121	ss15	1	sc
271176	ss15	1	sc
272109	ss15	1	sc
272188	ss15	1	sc
273105	ss15	1	sc
273192	ss15	1	sc
274117	ss15	1	sc
274180	ss15	1	sc
275129	ss15	1	sc
275168	ss15	1	sc
276141	ss15	1	sc
276156	ss15	1	sc
277144	ss15	1	sc
277153	ss15	1	sc
278132	ss15	1	sc
278165	ss15	1	sc
279120	ss15	1	sc
279177	ss15	1	sc
280108	ss15	1	sc
280189	ss15	1	sc
281106	ss15	1	sc
281191	ss15	1	sc
282118	ss15	1	sc
282179	ss15	1	sc
283130	ss15	1	sc
283167	ss15	1	sc
284142	ss15	1	sc
284155	ss15	1	sc
285143	ss15	1	sc
285154	ss15	1	sc
286131	ss15	1	sc
286166	ss15	1	sc
287119	ss15	1	sc
287178	ss15	1	sc
288107	ss15	1	sc
288190	ss15	1	sc
289107	ss15	1	sc
289190	ss15	1	sc
290119	ss15	1	sc
290178	ss15	1	sc
291131	ss15	1	sc
291166	ss15	1	sc
292143	ss15	1	sc
292154	ss15	1	sc
293142	ss15	1	sc
293155	ss15	1	sc
294130	ss15	1	sc
294167	ss15	1	sc
295118	ss15	1	sc
295179	ss15	1	sc
296106	ss15	1	sc
296191	ss15	1	sc
201190	ss15	1	sc
202178	ss15	1	sc
203166	ss15	1	sc
204154	ss15	1	sc
205142	ss15	1	sc
206130	ss15	1	sc
207118	ss15	1	sc
208106	ss15	1	sc
209189	ss15	1	sc
210177	ss15	1	sc
211165	ss15	1	sc
212153	ss15	1	sc
213141	ss15	1	sc
214129	ss15	1	sc
215117	ss15	1	sc
216105	ss15	1	sc
217188	ss15	1	sc
218176	ss15	1	sc
219164	ss15	1	sc
220152	ss15	1	sc
221140	ss15	1	sc
222128	ss15	1	sc
223116	ss15	1	sc
224104	ss15	1	sc
225187	ss15	1	sc
226175	ss15	1	sc
227163	ss15	1	sc
228151	ss15	1	sc
229139	ss15	1	sc
230127	ss15	1	sc
231115	ss15	1	sc
232103	ss15	1	sc
233186	ss15	1	sc
234174	ss15	1	sc
235162	ss15	1	sc
236150	ss15	1	sc
237138	ss15	1	sc
238126	ss15	1	sc
239114	ss15	1	sc
240102	ss15	1	sc
241185	ss15	1	sc
242173	ss15	1	sc
243161	ss15	1	sc
244149	ss15	1	sc
245137	ss15	1	sc
246125	ss15	1	sc
247113	ss15	1	sc
248101	ss15	1	sc
250113	ss15	1	sc
252160	ss15	1	sc
253148	ss15	1	sc
254136	ss15	1	sc
255124	ss15	1	sc
256112	ss15	1	sc
257195	ss15	1	sc
258183	ss15	1	sc
259171	ss15	1	sc
260159	ss15	1	sc
261147	ss15	1	sc
262135	ss15	1	sc
263123	ss15	1	sc
264111	ss15	1	sc
265194	ss15	1	sc
266182	ss15	1	sc
267170	ss15	1	sc
268158	ss15	1	sc
269146	ss15	1	sc
270134	ss15	1	sc
271122	ss15	1	sc
272110	ss15	1	sc
273193	ss15	1	sc
274181	ss15	1	sc
275169	ss15	1	sc
276157	ss15	1	sc
277145	ss15	1	sc
278133	ss15	1	sc
279121	ss15	1	sc
280109	ss15	1	sc
281192	ss15	1	sc
282180	ss15	1	sc
283168	ss15	1	sc
284156	ss15	1	sc
285144	ss15	1	sc
286132	ss15	1	sc
287120	ss15	1	sc
288108	ss15	1	sc
289191	ss15	1	sc
290179	ss15	1	sc
291167	ss15	1	sc
292155	ss15	1	sc
293143	ss15	1	sc
294131	ss15	1	sc
295119	ss15	1	sc
296107	ss15	1	sc
P1A1	ss8	1	sc
P1A10	ss8	1	sc
P1A11	ss8	1	sc
P1A12	ss8	1	sc
P1A2	ss8	1	sc
P1A3	ss8	1	sc
P1A4	ss8	1	sc
P1A5	ss8	1	sc
P1A6	ss8	1	sc
P1A7	ss8	1	sc
P1A8	ss8	1	sc
P1A9	ss8	1	sc
P1B1	ss8	1	sc
P1B10	ss8	1	sc
P1B11	ss8	1	sc
P1B12	ss8	1	sc
P1B2	ss8	1	sc
P1B3	ss8	1	sc
P1B4	ss8	1	sc
P1B5	ss8	1	sc
P1B6	ss8	1	sc
P1B7	ss8	1	sc
P1B8	ss8	1	sc
P1B9	ss8	1	sc
P1C1	ss8	1	sc
P1C10	ss8	1	sc
P1C11	ss8	1	sc
P1C12	ss8	1	sc
P1C2	ss8	1	sc
P1C3	ss8	1	sc
P1C4	ss8	1	sc
P1C5	ss8	1	sc
P1C6	ss8	1	sc
P1C7	ss8	1	sc
P1C8	ss8	1	sc
P1C9	ss8	1	sc
P1D1	ss8	1	sc
P1D10	ss8	1	sc
P1D11	ss8	1	sc
P1D12	ss8	1	sc
P1D2	ss8	1	sc
P1D3	ss8	1	sc
P1D4	ss8	1	sc
P1D5	ss8	1	sc
P1D6	ss8	1	sc
P1D7	ss8	1	sc
P1D8	ss8	1	sc
P1D9	ss8	1	sc
P1E1	ss8	1	sc
P1E10	ss8	1	sc
P1E11	ss8	1	sc
P1E12	ss8	1	sc
P1E2	ss8	1	sc
P1E3	ss8	1	sc
P1E4	ss8	1	sc
P1E5	ss8	1	sc
P1E6	ss8	1	sc
P1E7	ss8	1	sc
P1E8	ss8	1	sc
P1E9	ss8	1	sc
P1F1	ss8	1	sc
P1F10	ss8	1	sc
P1F11	ss8	1	sc
P1F12	ss8	1	sc
P1F2	ss8	1	sc
P1F3	ss8	1	sc
P1F4	ss8	1	sc
P1F5	ss8	1	sc
P1F6	ss8	1	sc
P1F7	ss8	1	sc
P1F8	ss8	1	sc
P1F9	ss8	1	sc
P1G1	ss8	1	sc
P1G10	ss8	1	sc
P1G11	ss8	1	sc
P1G12	ss8	1	sc
P1G2	ss8	1	sc
P1G3	ss8	1	sc
P1G4	ss8	1	sc
P1G5	ss8	1	sc
P1G6	ss8	1	sc
P1G7	ss8	1	sc
P1G8	ss8	1	sc
P1G9	ss8	1	sc
P1H1	ss8	1	sc
P1H10	ss8	1	sc
P1H11	ss8	1	sc
P1H12	ss8	1	sc
P1H2	ss8	1	sc
P1H3	ss8	1	sc
P1H4	ss8	1	sc
P1H5	ss8	1	sc
P1H6	ss8	1	sc
P1H7	ss8	1	sc
P1H8	ss8	1	sc
P1H9	ss8	1	sc
P2A1	ss8	1	sc
P2A10	ss8	1	sc
P2A11	ss8	1	sc
P2A12	ss8	1	sc
P2A2	ss8	1	sc
P2A3	ss8	1	sc
P2A4	ss8	1	sc
P2A5	ss8	1	sc
P2A6	ss8	1	sc
P2A7	ss8	1	sc
P2A8	ss8	1	sc
P2A9	ss8	1	sc
P2B1	ss8	1	sc
P2B10	ss8	1	sc
P2B11	ss8	1	sc
P2B12	ss8	1	sc
P2B2	ss8	1	sc
P2B3	ss8	1	sc
P2B4	ss8	1	sc
P2B5	ss8	1	sc
P2B6	ss8	1	sc
P2B7	ss8	1	sc
P2B8	ss8	1	sc
P2B9	ss8	1	sc
P2C1	ss8	1	sc
P2C10	ss8	1	sc
P2C11	ss8	1	sc
P2C12	ss8	1	sc
P2C2	ss8	1	sc
P2C3	ss8	1	sc
P2C4	ss8	1	sc
P2C5	ss8	1	sc
P2C6	ss8	1	sc
P2C7	ss8	1	sc
P2C8	ss8	1	sc
P2C9	ss8	1	sc
P2D1	ss8	1	sc
P2D10	ss8	1	sc
P2D11	ss8	1	sc
P2D12	ss8	1	sc
P2D2	ss8	1	sc
P2D3	ss8	1	sc
P2D4	ss8	1	sc
P2D5	ss8	1	sc
P2D6	ss8	1	sc
P2D7	ss8	1	sc
P2D8	ss8	1	sc
P2D9	ss8	1	sc
P2E1	ss8	1	sc
P2E10	ss8	1	sc
P2E11	ss8	1	sc
P2E12	ss8	1	sc
P2E2	ss8	1	sc
P2E3	ss8	1	sc
P2E4	ss8	1	sc
P2E5	ss8	1	sc
P2E6	ss8	1	sc
P2E7	ss8	1	sc
P2E8	ss8	1	sc
P2E9	ss8	1	sc
P2F1	ss8	1	sc
P2F10	ss8	1	sc
P2F11	ss8	1	sc
P2F12	ss8	1	sc
P2F2	ss8	1	sc
P2F3	ss8	1	sc
P2F4	ss8	1	sc
P2F5	ss8	1	sc
P2F6	ss8	1	sc
P2F7	ss8	1	sc
P2F8	ss8	1	sc
P2F9	ss8	1	sc
P2G1	ss8	1	sc
P2G10	ss8	1	sc
P2G11	ss8	1	sc
P2G12	ss8	1	sc
P2G2	ss8	1	sc
P2G3	ss8	1	sc
P2G4	ss8	1	sc
P2G5	ss8	1	sc
P2G6	ss8	1	sc
P2G7	ss8	1	sc
P2G8	ss8	1	sc
P2G9	ss8	1	sc
P2H1	ss8	1	sc
P2H10	ss8	1	sc
P2H11	ss8	1	sc
P2H12	ss8	1	sc
P2H2	ss8	1	sc
P2H3	ss8	1	sc
P2H4	ss8	1	sc
P2H5	ss8	1	sc
P2H6	ss8	1	sc
P2H7	ss8	1	sc
P2H8	ss8	1	sc
P2H9	ss8	1	sc
P3A1	ss8	1	sc
P3A10	ss8	1	sc
